	平均点,	　数学　,	　理科　,	　社会　,	　国語　,	　英語　
		50.973 ,	50.831 ,	50.897 ,	51.035 ,	50.155

	順位,	番号,	数学,	理科,	社会,	国語,	英語,	総合
	1862 ,	10765 ,	49 ,	46 ,	75 ,	92 ,	77 ,	339
	1862 ,	13069 ,	63 ,	65 ,	99 ,	15 ,	97 ,	339
	1862 ,	10744 ,	31 ,	53 ,	97 ,	93 ,	65 ,	339
	1862 ,	6124 ,	56 ,	46 ,	94 ,	65 ,	78 ,	339
	1862 ,	13799 ,	56 ,	63 ,	100 ,	20 ,	100 ,	339
	1862 ,	13772 ,	100 ,	40 ,	100 ,	34 ,	65 ,	339
	1862 ,	11052 ,	88 ,	44 ,	40 ,	80 ,	87 ,	339
	1862 ,	14732 ,	36 ,	95 ,	17 ,	95 ,	96 ,	339
	1862 ,	14821 ,	43 ,	80 ,	79 ,	60 ,	77 ,	339
	1862 ,	6509 ,	54 ,	45 ,	84 ,	61 ,	95 ,	339
	1862 ,	1444 ,	54 ,	94 ,	16 ,	83 ,	92 ,	339
	1862 ,	946 ,	41 ,	93 ,	89 ,	70 ,	46 ,	339
	1862 ,	19644 ,	65 ,	89 ,	91 ,	49 ,	45 ,	339
	1862 ,	8322 ,	42 ,	59 ,	88 ,	84 ,	66 ,	339
	1862 ,	18322 ,	93 ,	16 ,	96 ,	58 ,	76 ,	339
	1862 ,	11544 ,	73 ,	81 ,	83 ,	92 ,	10 ,	339
	1862 ,	142 ,	29 ,	74 ,	86 ,	77 ,	73 ,	339
	1862 ,	15940 ,	92 ,	69 ,	6 ,	91 ,	81 ,	339
	1862 ,	4759 ,	20 ,	44 ,	93 ,	89 ,	93 ,	339
	1862 ,	11980 ,	77 ,	70 ,	76 ,	69 ,	47 ,	339
	1862 ,	4156 ,	51 ,	93 ,	95 ,	32 ,	68 ,	339
	1862 ,	11896 ,	83 ,	99 ,	85 ,	15 ,	57 ,	339
	1862 ,	13006 ,	33 ,	65 ,	92 ,	97 ,	52 ,	339
	1862 ,	1355 ,	41 ,	30 ,	97 ,	94 ,	77 ,	339
	1862 ,	13836 ,	95 ,	71 ,	71 ,	79 ,	23 ,	339
	1862 ,	2736 ,	74 ,	87 ,	41 ,	75 ,	62 ,	339
	1862 ,	16701 ,	49 ,	44 ,	92 ,	94 ,	60 ,	339
	1862 ,	16320 ,	5 ,	97 ,	82 ,	77 ,	78 ,	339
	1862 ,	17212 ,	93 ,	61 ,	37 ,	66 ,	82 ,	339
	1862 ,	3269 ,	65 ,	80 ,	75 ,	51 ,	68 ,	339
	1862 ,	19007 ,	45 ,	68 ,	72 ,	60 ,	94 ,	339
	1862 ,	2343 ,	81 ,	41 ,	95 ,	64 ,	58 ,	339
	1862 ,	1302 ,	13 ,	77 ,	97 ,	71 ,	81 ,	339
	1862 ,	11137 ,	71 ,	84 ,	86 ,	25 ,	73 ,	339
	1862 ,	5934 ,	37 ,	55 ,	87 ,	71 ,	89 ,	339
	1862 ,	9610 ,	86 ,	86 ,	17 ,	51 ,	99 ,	339
	1862 ,	3536 ,	86 ,	65 ,	86 ,	51 ,	51 ,	339
	1862 ,	2723 ,	64 ,	51 ,	78 ,	55 ,	91 ,	339
	1862 ,	11598 ,	92 ,	55 ,	97 ,	66 ,	29 ,	339
	1862 ,	9679 ,	78 ,	91 ,	100 ,	41 ,	29 ,	339
	1862 ,	16875 ,	55 ,	85 ,	22 ,	79 ,	98 ,	339
	1862 ,	14903 ,	100 ,	59 ,	46 ,	37 ,	97 ,	339
	1862 ,	7493 ,	80 ,	61 ,	39 ,	64 ,	95 ,	339
	1862 ,	11669 ,	95 ,	76 ,	24 ,	50 ,	94 ,	339
	1862 ,	13624 ,	70 ,	57 ,	49 ,	78 ,	85 ,	339
	1862 ,	12724 ,	66 ,	24 ,	93 ,	90 ,	66 ,	339
	1862 ,	561 ,	10 ,	90 ,	75 ,	93 ,	71 ,	339
	1862 ,	882 ,	99 ,	47 ,	15 ,	82 ,	96 ,	339
	1862 ,	6244 ,	68 ,	40 ,	53 ,	88 ,	90 ,	339
	1862 ,	5214 ,	74 ,	87 ,	91 ,	84 ,	3 ,	339
	1862 ,	19045 ,	79 ,	49 ,	91 ,	83 ,	37 ,	339
	1922 ,	78 ,	16 ,	73 ,	56 ,	97 ,	96 ,	338
	1922 ,	10680 ,	51 ,	74 ,	96 ,	74 ,	43 ,	338
	1922 ,	5928 ,	81 ,	61 ,	86 ,	85 ,	25 ,	338
	1922 ,	18675 ,	61 ,	100 ,	0 ,	98 ,	79 ,	338
	1922 ,	15674 ,	6 ,	97 ,	76 ,	99 ,	60 ,	338
	1922 ,	348 ,	38 ,	89 ,	86 ,	37 ,	88 ,	338
	1922 ,	3458 ,	58 ,	63 ,	64 ,	98 ,	55 ,	338
	1922 ,	5651 ,	78 ,	91 ,	4 ,	70 ,	95 ,	338
	1922 ,	12827 ,	60 ,	71 ,	98 ,	56 ,	53 ,	338
	1922 ,	15560 ,	76 ,	89 ,	39 ,	54 ,	80 ,	338
	1922 ,	8807 ,	95 ,	69 ,	56 ,	65 ,	53 ,	338
	1922 ,	1425 ,	81 ,	82 ,	53 ,	76 ,	46 ,	338
	1922 ,	4796 ,	61 ,	28 ,	92 ,	90 ,	67 ,	338
	1922 ,	13035 ,	42 ,	61 ,	70 ,	71 ,	94 ,	338
	1922 ,	19703 ,	73 ,	48 ,	79 ,	45 ,	93 ,	338
	1922 ,	11380 ,	54 ,	60 ,	60 ,	82 ,	82 ,	338
	1922 ,	13516 ,	95 ,	71 ,	16 ,	75 ,	81 ,	338
	1922 ,	6178 ,	83 ,	34 ,	72 ,	93 ,	56 ,	338
	1922 ,	14367 ,	63 ,	56 ,	74 ,	71 ,	74 ,	338
	1922 ,	11520 ,	29 ,	82 ,	97 ,	88 ,	42 ,	338
	1922 ,	10536 ,	59 ,	86 ,	72 ,	92 ,	29 ,	338
	1922 ,	6199 ,	92 ,	15 ,	83 ,	67 ,	81 ,	338
	1922 ,	2121 ,	56 ,	80 ,	66 ,	59 ,	77 ,	338
	1922 ,	4622 ,	93 ,	4 ,	62 ,	87 ,	92 ,	338
	1922 ,	9106 ,	96 ,	30 ,	79 ,	83 ,	50 ,	338
	1922 ,	13773 ,	86 ,	61 ,	61 ,	49 ,	81 ,	338
	1922 ,	8530 ,	38 ,	95 ,	93 ,	90 ,	22 ,	338
	1922 ,	3962 ,	33 ,	56 ,	98 ,	99 ,	52 ,	338
	1922 ,	11431 ,	54 ,	61 ,	61 ,	62 ,	100 ,	338
	1922 ,	3862 ,	94 ,	12 ,	85 ,	88 ,	59 ,	338
	1922 ,	8121 ,	99 ,	94 ,	86 ,	54 ,	5 ,	338
	1922 ,	1296 ,	68 ,	39 ,	82 ,	61 ,	88 ,	338
	1922 ,	9041 ,	51 ,	92 ,	89 ,	58 ,	48 ,	338
	1922 ,	18867 ,	15 ,	73 ,	70 ,	99 ,	81 ,	338
	1922 ,	703 ,	20 ,	42 ,	93 ,	96 ,	87 ,	338
	1922 ,	10664 ,	51 ,	93 ,	88 ,	91 ,	15 ,	338
	1922 ,	2622 ,	17 ,	93 ,	91 ,	71 ,	66 ,	338
	1922 ,	16924 ,	45 ,	84 ,	91 ,	35 ,	83 ,	338
	1922 ,	7558 ,	94 ,	43 ,	71 ,	69 ,	61 ,	338
	1922 ,	14105 ,	95 ,	88 ,	20 ,	41 ,	94 ,	338
	1922 ,	2347 ,	42 ,	65 ,	100 ,	73 ,	58 ,	338
	1922 ,	16187 ,	38 ,	48 ,	81 ,	77 ,	94 ,	338
	1922 ,	2752 ,	31 ,	100 ,	66 ,	68 ,	73 ,	338
	1922 ,	9485 ,	91 ,	86 ,	15 ,	71 ,	75 ,	338
	1922 ,	14017 ,	83 ,	42 ,	78 ,	36 ,	99 ,	338
	1922 ,	19126 ,	84 ,	27 ,	73 ,	98 ,	56 ,	338
	1922 ,	9552 ,	56 ,	65 ,	61 ,	100 ,	56 ,	338
	1922 ,	9233 ,	85 ,	66 ,	10 ,	81 ,	96 ,	338
	1922 ,	18785 ,	86 ,	53 ,	90 ,	88 ,	21 ,	338
	1922 ,	280 ,	95 ,	77 ,	88 ,	29 ,	49 ,	338
	1922 ,	8853 ,	62 ,	56 ,	87 ,	41 ,	92 ,	338
	1922 ,	11889 ,	75 ,	68 ,	49 ,	63 ,	83 ,	338
	1974 ,	14335 ,	66 ,	97 ,	78 ,	11 ,	85 ,	337
	1974 ,	9402 ,	83 ,	55 ,	35 ,	87 ,	77 ,	337
	1974 ,	7700 ,	87 ,	58 ,	97 ,	21 ,	74 ,	337
	1974 ,	3616 ,	3 ,	95 ,	97 ,	73 ,	69 ,	337
	1974 ,	5334 ,	32 ,	85 ,	70 ,	51 ,	99 ,	337
	1974 ,	19497 ,	90 ,	71 ,	95 ,	43 ,	38 ,	337
	1974 ,	14569 ,	54 ,	40 ,	100 ,	47 ,	96 ,	337
	1974 ,	17326 ,	78 ,	92 ,	42 ,	42 ,	83 ,	337
	1974 ,	18077 ,	85 ,	99 ,	23 ,	72 ,	58 ,	337
	1974 ,	17837 ,	58 ,	56 ,	97 ,	28 ,	98 ,	337
	1974 ,	7374 ,	74 ,	87 ,	60 ,	56 ,	60 ,	337
	1974 ,	1642 ,	66 ,	86 ,	88 ,	42 ,	55 ,	337
	1974 ,	11637 ,	59 ,	61 ,	99 ,	86 ,	32 ,	337
	1974 ,	16868 ,	51 ,	73 ,	60 ,	56 ,	97 ,	337
	1974 ,	5254 ,	94 ,	84 ,	94 ,	33 ,	32 ,	337
	1974 ,	13169 ,	36 ,	85 ,	66 ,	90 ,	60 ,	337
	1974 ,	12673 ,	42 ,	82 ,	98 ,	76 ,	39 ,	337
	1974 ,	19650 ,	73 ,	10 ,	86 ,	89 ,	79 ,	337
	1974 ,	8543 ,	64 ,	41 ,	94 ,	82 ,	56 ,	337
	1974 ,	9036 ,	82 ,	100 ,	4 ,	92 ,	59 ,	337
	1974 ,	18949 ,	66 ,	53 ,	88 ,	74 ,	56 ,	337
	1974 ,	6530 ,	84 ,	25 ,	88 ,	45 ,	95 ,	337
	1974 ,	4823 ,	59 ,	82 ,	10 ,	97 ,	89 ,	337
	1974 ,	1587 ,	95 ,	85 ,	13 ,	65 ,	79 ,	337
	1974 ,	8135 ,	96 ,	34 ,	68 ,	40 ,	99 ,	337
	1974 ,	10553 ,	100 ,	50 ,	44 ,	57 ,	86 ,	337
	1974 ,	14947 ,	89 ,	89 ,	43 ,	90 ,	26 ,	337
	1974 ,	6476 ,	81 ,	47 ,	71 ,	84 ,	54 ,	337
	1974 ,	1434 ,	66 ,	60 ,	26 ,	90 ,	95 ,	337
	1974 ,	14775 ,	60 ,	30 ,	76 ,	85 ,	86 ,	337
	1974 ,	8864 ,	97 ,	89 ,	55 ,	58 ,	38 ,	337
	1974 ,	15520 ,	29 ,	85 ,	72 ,	70 ,	81 ,	337
	1974 ,	15452 ,	91 ,	40 ,	100 ,	38 ,	68 ,	337
	1974 ,	15080 ,	27 ,	97 ,	98 ,	25 ,	90 ,	337
	1974 ,	8461 ,	100 ,	34 ,	77 ,	42 ,	84 ,	337
	1974 ,	13857 ,	88 ,	43 ,	18 ,	98 ,	90 ,	337
	1974 ,	4757 ,	57 ,	71 ,	84 ,	42 ,	83 ,	337
	1974 ,	12956 ,	47 ,	91 ,	59 ,	98 ,	42 ,	337
	1974 ,	4955 ,	98 ,	41 ,	48 ,	91 ,	59 ,	337
	1974 ,	1342 ,	44 ,	96 ,	81 ,	43 ,	73 ,	337
	1974 ,	18448 ,	23 ,	91 ,	95 ,	84 ,	44 ,	337
	1974 ,	15331 ,	51 ,	64 ,	88 ,	61 ,	73 ,	337
	1974 ,	7367 ,	42 ,	48 ,	93 ,	65 ,	89 ,	337
	1974 ,	6370 ,	65 ,	90 ,	86 ,	75 ,	21 ,	337
	1974 ,	15124 ,	46 ,	66 ,	67 ,	82 ,	76 ,	337
	1974 ,	7114 ,	80 ,	21 ,	67 ,	72 ,	97 ,	337
	1974 ,	2291 ,	94 ,	48 ,	36 ,	75 ,	84 ,	337
	1974 ,	4975 ,	64 ,	62 ,	51 ,	69 ,	91 ,	337
	1974 ,	3662 ,	82 ,	72 ,	56 ,	29 ,	98 ,	337
	1974 ,	4963 ,	49 ,	91 ,	40 ,	63 ,	94 ,	337
	1974 ,	16512 ,	46 ,	91 ,	50 ,	81 ,	69 ,	337
	1974 ,	13442 ,	53 ,	84 ,	51 ,	87 ,	62 ,	337
	1974 ,	7586 ,	51 ,	67 ,	77 ,	46 ,	96 ,	337
	1974 ,	2030 ,	87 ,	81 ,	4 ,	99 ,	66 ,	337
	1974 ,	18391 ,	3 ,	74 ,	89 ,	91 ,	80 ,	337
	1974 ,	18856 ,	45 ,	99 ,	62 ,	79 ,	52 ,	337
	1974 ,	11353 ,	93 ,	63 ,	53 ,	50 ,	78 ,	337
	1974 ,	8362 ,	92 ,	42 ,	95 ,	33 ,	75 ,	337
	1974 ,	11310 ,	34 ,	47 ,	89 ,	95 ,	72 ,	337
	1974 ,	13155 ,	68 ,	84 ,	84 ,	42 ,	59 ,	337
	1974 ,	13242 ,	78 ,	98 ,	41 ,	23 ,	97 ,	337
	2035 ,	17362 ,	32 ,	88 ,	70 ,	82 ,	64 ,	336
	2035 ,	3141 ,	54 ,	90 ,	48 ,	79 ,	65 ,	336
	2035 ,	16166 ,	90 ,	47 ,	89 ,	100 ,	10 ,	336
	2035 ,	4362 ,	19 ,	52 ,	100 ,	99 ,	66 ,	336
	2035 ,	7908 ,	91 ,	75 ,	66 ,	49 ,	55 ,	336
	2035 ,	17348 ,	44 ,	80 ,	71 ,	73 ,	68 ,	336
	2035 ,	9175 ,	95 ,	71 ,	68 ,	19 ,	83 ,	336
	2035 ,	1018 ,	31 ,	51 ,	79 ,	84 ,	91 ,	336
	2035 ,	734 ,	92 ,	14 ,	87 ,	70 ,	73 ,	336
	2035 ,	13286 ,	82 ,	98 ,	85 ,	30 ,	41 ,	336
	2035 ,	14391 ,	67 ,	84 ,	90 ,	39 ,	56 ,	336
	2035 ,	19071 ,	80 ,	92 ,	38 ,	60 ,	66 ,	336
	2035 ,	15321 ,	80 ,	33 ,	79 ,	72 ,	72 ,	336
	2035 ,	8321 ,	93 ,	27 ,	32 ,	92 ,	92 ,	336
	2035 ,	4137 ,	50 ,	31 ,	66 ,	91 ,	98 ,	336
	2035 ,	11049 ,	60 ,	48 ,	75 ,	82 ,	71 ,	336
	2035 ,	12105 ,	54 ,	95 ,	48 ,	66 ,	73 ,	336
	2035 ,	2125 ,	71 ,	34 ,	50 ,	97 ,	84 ,	336
	2035 ,	12212 ,	98 ,	72 ,	21 ,	82 ,	63 ,	336
	2035 ,	9199 ,	52 ,	70 ,	89 ,	90 ,	35 ,	336
	2035 ,	11068 ,	58 ,	38 ,	92 ,	96 ,	52 ,	336
	2035 ,	533 ,	93 ,	62 ,	80 ,	85 ,	16 ,	336
	2035 ,	10050 ,	45 ,	58 ,	88 ,	63 ,	82 ,	336
	2035 ,	3912 ,	58 ,	13 ,	96 ,	71 ,	98 ,	336
	2035 ,	11356 ,	73 ,	51 ,	92 ,	46 ,	74 ,	336
	2035 ,	18540 ,	42 ,	82 ,	84 ,	89 ,	39 ,	336
	2035 ,	2240 ,	80 ,	51 ,	50 ,	62 ,	93 ,	336
	2035 ,	13716 ,	95 ,	54 ,	53 ,	98 ,	36 ,	336
	2035 ,	15568 ,	67 ,	70 ,	40 ,	80 ,	79 ,	336
	2035 ,	18516 ,	71 ,	66 ,	48 ,	62 ,	89 ,	336
	2035 ,	10105 ,	60 ,	41 ,	77 ,	98 ,	60 ,	336
	2035 ,	2882 ,	70 ,	59 ,	57 ,	66 ,	84 ,	336
	2035 ,	16415 ,	79 ,	78 ,	55 ,	42 ,	82 ,	336
	2035 ,	16607 ,	80 ,	66 ,	63 ,	30 ,	97 ,	336
	2035 ,	2553 ,	51 ,	88 ,	61 ,	85 ,	51 ,	336
	2035 ,	10122 ,	53 ,	86 ,	95 ,	63 ,	39 ,	336
	2035 ,	14905 ,	83 ,	38 ,	34 ,	99 ,	82 ,	336
	2035 ,	192 ,	33 ,	81 ,	60 ,	90 ,	72 ,	336
	2035 ,	3674 ,	93 ,	17 ,	74 ,	92 ,	60 ,	336
	2035 ,	748 ,	91 ,	93 ,	87 ,	22 ,	43 ,	336
	2035 ,	1931 ,	74 ,	99 ,	32 ,	86 ,	45 ,	336
	2035 ,	5227 ,	70 ,	67 ,	87 ,	39 ,	73 ,	336
	2035 ,	11651 ,	73 ,	71 ,	33 ,	99 ,	60 ,	336
	2035 ,	18642 ,	85 ,	71 ,	50 ,	59 ,	71 ,	336
	2035 ,	9534 ,	68 ,	19 ,	69 ,	80 ,	100 ,	336
	2035 ,	15887 ,	68 ,	83 ,	89 ,	93 ,	3 ,	336
	2035 ,	236 ,	4 ,	62 ,	100 ,	70 ,	100 ,	336
	2035 ,	8268 ,	74 ,	95 ,	65 ,	70 ,	32 ,	336
	2035 ,	3241 ,	54 ,	38 ,	94 ,	84 ,	66 ,	336
	2035 ,	16685 ,	31 ,	73 ,	77 ,	92 ,	63 ,	336
	2035 ,	18001 ,	65 ,	27 ,	100 ,	90 ,	54 ,	336
	2035 ,	17526 ,	38 ,	29 ,	85 ,	99 ,	85 ,	336
	2087 ,	15994 ,	72 ,	86 ,	43 ,	43 ,	91 ,	335
	2087 ,	7836 ,	69 ,	78 ,	87 ,	64 ,	37 ,	335
	2087 ,	3109 ,	91 ,	11 ,	66 ,	97 ,	70 ,	335
	2087 ,	17819 ,	78 ,	76 ,	64 ,	21 ,	96 ,	335
	2087 ,	165 ,	81 ,	63 ,	89 ,	35 ,	67 ,	335
	2087 ,	2143 ,	93 ,	87 ,	85 ,	9 ,	61 ,	335
	2087 ,	11838 ,	58 ,	70 ,	84 ,	27 ,	96 ,	335
	2087 ,	6079 ,	80 ,	51 ,	17 ,	93 ,	94 ,	335
	2087 ,	10119 ,	53 ,	69 ,	61 ,	74 ,	78 ,	335
	2087 ,	10315 ,	43 ,	79 ,	50 ,	78 ,	85 ,	335
	2087 ,	18291 ,	66 ,	85 ,	24 ,	60 ,	100 ,	335
	2087 ,	19893 ,	67 ,	42 ,	67 ,	82 ,	77 ,	335
	2087 ,	2189 ,	27 ,	61 ,	56 ,	94 ,	97 ,	335
	2087 ,	10541 ,	44 ,	57 ,	84 ,	51 ,	99 ,	335
	2087 ,	17442 ,	85 ,	96 ,	84 ,	29 ,	41 ,	335
	2087 ,	14892 ,	73 ,	39 ,	99 ,	47 ,	77 ,	335
	2087 ,	7887 ,	59 ,	75 ,	94 ,	42 ,	65 ,	335
	2087 ,	6964 ,	76 ,	62 ,	51 ,	73 ,	73 ,	335
	2087 ,	7641 ,	32 ,	91 ,	88 ,	83 ,	41 ,	335
	2087 ,	5381 ,	100 ,	33 ,	48 ,	75 ,	79 ,	335
	2087 ,	18399 ,	24 ,	89 ,	35 ,	100 ,	87 ,	335
	2087 ,	18043 ,	96 ,	24 ,	55 ,	68 ,	92 ,	335
	2087 ,	4933 ,	85 ,	89 ,	95 ,	51 ,	15 ,	335
	2087 ,	3675 ,	0 ,	91 ,	61 ,	88 ,	95 ,	335
	2087 ,	10546 ,	12 ,	67 ,	91 ,	99 ,	66 ,	335
	2087 ,	3129 ,	80 ,	98 ,	30 ,	83 ,	44 ,	335
	2087 ,	1133 ,	84 ,	16 ,	41 ,	98 ,	96 ,	335
	2087 ,	12393 ,	73 ,	99 ,	78 ,	27 ,	58 ,	335
	2087 ,	16218 ,	51 ,	53 ,	79 ,	93 ,	59 ,	335
	2087 ,	17207 ,	48 ,	76 ,	47 ,	99 ,	65 ,	335
	2087 ,	3900 ,	26 ,	76 ,	91 ,	46 ,	96 ,	335
	2087 ,	16716 ,	42 ,	81 ,	60 ,	84 ,	68 ,	335
	2087 ,	6106 ,	61 ,	86 ,	9 ,	83 ,	96 ,	335
	2087 ,	17635 ,	63 ,	93 ,	61 ,	56 ,	62 ,	335
	2087 ,	1213 ,	63 ,	66 ,	80 ,	48 ,	78 ,	335
	2087 ,	12471 ,	65 ,	65 ,	97 ,	27 ,	81 ,	335
	2087 ,	18895 ,	97 ,	71 ,	88 ,	36 ,	43 ,	335
	2087 ,	4394 ,	68 ,	17 ,	88 ,	68 ,	94 ,	335
	2087 ,	9699 ,	36 ,	97 ,	60 ,	81 ,	61 ,	335
	2087 ,	7680 ,	79 ,	70 ,	72 ,	14 ,	100 ,	335
	2087 ,	7204 ,	93 ,	59 ,	79 ,	33 ,	71 ,	335
	2087 ,	3958 ,	87 ,	65 ,	56 ,	81 ,	46 ,	335
	2087 ,	18175 ,	75 ,	56 ,	91 ,	67 ,	46 ,	335
	2087 ,	13943 ,	80 ,	100 ,	24 ,	65 ,	66 ,	335
	2087 ,	5834 ,	68 ,	93 ,	11 ,	63 ,	100 ,	335
	2087 ,	19579 ,	90 ,	82 ,	54 ,	14 ,	95 ,	335
	2087 ,	15369 ,	100 ,	80 ,	15 ,	82 ,	58 ,	335
	2087 ,	13262 ,	59 ,	51 ,	90 ,	89 ,	46 ,	335
	2087 ,	1678 ,	91 ,	62 ,	72 ,	93 ,	17 ,	335
	2087 ,	5788 ,	97 ,	82 ,	40 ,	89 ,	27 ,	335
	2087 ,	13532 ,	45 ,	81 ,	25 ,	100 ,	84 ,	335
	2087 ,	18605 ,	93 ,	58 ,	48 ,	57 ,	79 ,	335
	2087 ,	15062 ,	41 ,	60 ,	91 ,	63 ,	80 ,	335
	2087 ,	12835 ,	77 ,	93 ,	80 ,	26 ,	59 ,	335
	2087 ,	10152 ,	46 ,	75 ,	91 ,	91 ,	32 ,	335
	2087 ,	1090 ,	67 ,	27 ,	72 ,	72 ,	97 ,	335
	2087 ,	1738 ,	67 ,	20 ,	74 ,	74 ,	100 ,	335
	2087 ,	2045 ,	18 ,	72 ,	54 ,	95 ,	96 ,	335
	2087 ,	11341 ,	100 ,	53 ,	29 ,	64 ,	89 ,	335
	2087 ,	2956 ,	77 ,	52 ,	84 ,	80 ,	42 ,	335
	2087 ,	15744 ,	61 ,	87 ,	30 ,	83 ,	74 ,	335
	2087 ,	1208 ,	41 ,	86 ,	86 ,	51 ,	71 ,	335
	2087 ,	4847 ,	80 ,	17 ,	67 ,	79 ,	92 ,	335
	2087 ,	19395 ,	70 ,	12 ,	83 ,	98 ,	72 ,	335
	2087 ,	18594 ,	82 ,	19 ,	63 ,	80 ,	91 ,	335
	2087 ,	19765 ,	28 ,	72 ,	84 ,	51 ,	100 ,	335
	2087 ,	9962 ,	92 ,	59 ,	68 ,	26 ,	90 ,	335
	2154 ,	5549 ,	78 ,	63 ,	84 ,	80 ,	29 ,	334
	2154 ,	196 ,	92 ,	25 ,	99 ,	43 ,	75 ,	334
	2154 ,	449 ,	78 ,	38 ,	65 ,	63 ,	90 ,	334
	2154 ,	9318 ,	77 ,	66 ,	7 ,	87 ,	97 ,	334
	2154 ,	11998 ,	59 ,	63 ,	58 ,	82 ,	72 ,	334
	2154 ,	9709 ,	87 ,	88 ,	77 ,	6 ,	76 ,	334
	2154 ,	13001 ,	69 ,	59 ,	25 ,	86 ,	95 ,	334
	2154 ,	5370 ,	79 ,	48 ,	52 ,	87 ,	68 ,	334
	2154 ,	11486 ,	34 ,	73 ,	82 ,	97 ,	48 ,	334
	2154 ,	7761 ,	95 ,	14 ,	69 ,	61 ,	95 ,	334
	2154 ,	5546 ,	29 ,	99 ,	62 ,	99 ,	45 ,	334
	2154 ,	17856 ,	82 ,	13 ,	52 ,	88 ,	99 ,	334
	2154 ,	1459 ,	68 ,	75 ,	65 ,	44 ,	82 ,	334
	2154 ,	7738 ,	75 ,	43 ,	84 ,	53 ,	79 ,	334
	2154 ,	12721 ,	52 ,	67 ,	51 ,	78 ,	86 ,	334
	2154 ,	2152 ,	77 ,	60 ,	93 ,	39 ,	65 ,	334
	2154 ,	17029 ,	43 ,	90 ,	68 ,	93 ,	40 ,	334
	2154 ,	705 ,	94 ,	46 ,	82 ,	60 ,	52 ,	334
	2154 ,	19875 ,	95 ,	60 ,	76 ,	91 ,	12 ,	334
	2154 ,	4355 ,	72 ,	44 ,	32 ,	99 ,	87 ,	334
	2154 ,	7412 ,	61 ,	35 ,	89 ,	89 ,	60 ,	334
	2154 ,	4917 ,	66 ,	50 ,	94 ,	32 ,	92 ,	334
	2154 ,	2497 ,	54 ,	76 ,	71 ,	78 ,	55 ,	334
	2154 ,	5363 ,	86 ,	61 ,	94 ,	9 ,	84 ,	334
	2154 ,	3975 ,	87 ,	99 ,	50 ,	73 ,	25 ,	334
	2154 ,	15035 ,	92 ,	11 ,	63 ,	93 ,	75 ,	334
	2154 ,	36 ,	61 ,	100 ,	42 ,	86 ,	45 ,	334
	2154 ,	13618 ,	99 ,	91 ,	87 ,	13 ,	44 ,	334
	2154 ,	3362 ,	20 ,	45 ,	76 ,	93 ,	100 ,	334
	2154 ,	17437 ,	54 ,	70 ,	40 ,	73 ,	97 ,	334
	2154 ,	551 ,	86 ,	56 ,	88 ,	43 ,	61 ,	334
	2154 ,	11485 ,	46 ,	100 ,	76 ,	89 ,	23 ,	334
	2154 ,	16365 ,	91 ,	72 ,	51 ,	23 ,	97 ,	334
	2154 ,	18562 ,	89 ,	79 ,	97 ,	0 ,	69 ,	334
	2154 ,	18179 ,	79 ,	98 ,	59 ,	64 ,	34 ,	334
	2154 ,	4781 ,	17 ,	85 ,	74 ,	79 ,	79 ,	334
	2154 ,	13743 ,	23 ,	92 ,	86 ,	55 ,	78 ,	334
	2154 ,	13394 ,	84 ,	54 ,	67 ,	37 ,	92 ,	334
	2154 ,	5782 ,	10 ,	88 ,	75 ,	62 ,	99 ,	334
	2154 ,	6761 ,	41 ,	79 ,	69 ,	45 ,	100 ,	334
	2154 ,	2592 ,	61 ,	51 ,	95 ,	85 ,	42 ,	334
	2154 ,	18080 ,	74 ,	83 ,	60 ,	53 ,	64 ,	334
	2154 ,	9729 ,	98 ,	57 ,	60 ,	28 ,	91 ,	334
	2154 ,	14782 ,	73 ,	60 ,	93 ,	61 ,	47 ,	334
	2154 ,	3192 ,	76 ,	90 ,	4 ,	64 ,	100 ,	334
	2154 ,	16840 ,	69 ,	58 ,	61 ,	88 ,	58 ,	334
	2154 ,	11949 ,	66 ,	17 ,	83 ,	81 ,	87 ,	334
	2154 ,	2933 ,	57 ,	30 ,	87 ,	75 ,	85 ,	334
	2154 ,	13725 ,	40 ,	99 ,	72 ,	51 ,	72 ,	334
	2154 ,	7643 ,	79 ,	11 ,	93 ,	56 ,	95 ,	334
	2154 ,	7149 ,	66 ,	60 ,	66 ,	96 ,	46 ,	334
	2154 ,	7339 ,	52 ,	58 ,	72 ,	93 ,	59 ,	334
	2154 ,	17380 ,	54 ,	63 ,	97 ,	80 ,	40 ,	334
	2154 ,	6316 ,	58 ,	81 ,	75 ,	92 ,	28 ,	334
	2154 ,	15547 ,	78 ,	81 ,	62 ,	34 ,	79 ,	334
	2154 ,	16962 ,	26 ,	100 ,	79 ,	61 ,	68 ,	334
	2154 ,	9187 ,	95 ,	63 ,	82 ,	51 ,	43 ,	334
	2154 ,	11594 ,	46 ,	44 ,	96 ,	72 ,	76 ,	334
	2154 ,	386 ,	50 ,	90 ,	94 ,	25 ,	75 ,	334
	2154 ,	9172 ,	65 ,	48 ,	95 ,	39 ,	87 ,	334
	2154 ,	15764 ,	70 ,	47 ,	92 ,	41 ,	84 ,	334
	2154 ,	7808 ,	64 ,	95 ,	56 ,	26 ,	93 ,	334
	2154 ,	14801 ,	74 ,	92 ,	37 ,	56 ,	75 ,	334
	2154 ,	7977 ,	84 ,	77 ,	75 ,	12 ,	86 ,	334
	2154 ,	6669 ,	63 ,	98 ,	32 ,	58 ,	83 ,	334
